,gene_label
0,ENSG00000198793
1,ENSG00000163513
2,ENSG00000085185
3,ENSG00000102974
4,ENSG00000196159
5,ENSG00000145113
6,ENSG00000103197
7,ENSG00000181143
8,ENSG00000083857
9,ENSG00000182511
10,ENSG00000065361
11,ENSG00000198053
12,ENSG00000153707
13,ENSG00000073282
14,ENSG00000116044
15,ENSG00000116731
16,ENSG00000196090
17,ENSG00000101213
18,ENSG00000148400
19,ENSG00000070756
