,gene_label
0,ENSG00000153707
1,ENSG00000138413
2,ENSG00000164362
3,ENSG00000101115
4,ENSG00000101972
5,ENSG00000047932
6,ENSG00000047936
7,ENSG00000134853
8,ENSG00000145675
9,ENSG00000198625
10,ENSG00000204209
11,ENSG00000117020
12,ENSG00000121879
13,ENSG00000182054
14,ENSG00000099949
15,ENSG00000100644
16,ENSG00000085224
