,gene_label
0,ENSG00000100852
1,ENSG00000065057
2,ENSG00000124486
3,ENSG00000104660
4,ENSG00000116731
5,ENSG00000136014
6,ENSG00000111087
7,ENSG00000125952
8,ENSG00000065361
9,ENSG00000152942
10,ENSG00000147130
11,ENSG00000062822
12,ENSG00000140521
13,ENSG00000107929
14,ENSG00000104728
15,ENSG00000139718
16,ENSG00000198604
17,ENSG00000183742
