,gene_label
0,ENSG00000105221
1,ENSG00000204209
2,ENSG00000087460
3,ENSG00000133703
4,ENSG00000100644
5,ENSG00000046889
6,ENSG00000065559
7,ENSG00000134982
8,ENSG00000085224
9,ENSG00000163435
10,ENSG00000083857
11,ENSG00000196159
12,ENSG00000133895
13,ENSG00000139618
14,ENSG00000100393
15,ENSG00000141646
16,ENSG00000118046
17,ENSG00000121989
18,ENSG00000134982
19,ENSG00000083857
20,ENSG00000133895
21,ENSG00000139618
22,ENSG00000040731
23,ENSG00000118046
24,ENSG00000147889
