,gene_label
0,ENSG00000164362
1,ENSG00000165699
2,ENSG00000113360
3,ENSG00000065361
4,ENSG00000124762
5,ENSG00000174775
6,ENSG00000147050
7,ENSG00000134250
8,ENSG00000101972
9,ENSG00000148400
10,ENSG00000198625
11,ENSG00000068078
