,gene_label
0,ENSG00000153707
1,ENSG00000105976
2,ENSG00000135956
3,ENSG00000186575
4,ENSG00000116560
5,ENSG00000165699
6,ENSG00000134086
7,ENSG00000126012
8,ENSG00000141367
9,ENSG00000147140
10,ENSG00000154803
11,ENSG00000101213
12,ENSG00000163939
13,ENSG00000103197
14,ENSG00000100644
15,ENSG00000163930
16,ENSG00000147050
17,ENSG00000251562
18,ENSG00000068323
19,ENSG00000143294
20,ENSG00000112561
21,ENSG00000091483
22,ENSG00000198793
23,ENSG00000181555
24,ENSG00000167548
