,gene_label
0,ENSG00000143294
1,ENSG00000163939
2,ENSG00000126012
3,ENSG00000141367
4,ENSG00000186575
5,ENSG00000101213
6,ENSG00000134086
7,ENSG00000116560
8,ENSG00000147050
9,ENSG00000068323
10,ENSG00000165699
11,ENSG00000112561
12,ENSG00000100644
13,ENSG00000103197
14,ENSG00000135956
15,ENSG00000163930
16,ENSG00000181555
17,ENSG00000198793
18,ENSG00000251562
19,ENSG00000153707
20,ENSG00000091483
21,ENSG00000154803
22,ENSG00000167548
23,ENSG00000147140
24,ENSG00000105976
