gene_ens,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000000005,TNMD,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3007245810038403,-0.2295968395504602,0,-0.7809432540539282,0.0,-0.38119795281700253
ENSG00000000419,DPM1,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6008047645866093,-0.2295968395504602,0,-0.3957734532459226,0.5,-0.38119795281700253
ENSG00000000457,SCYL3,0.0,0.09523809523809523,0.23809523809523808,0.0,0.0,0.0,0.0,0.0510157638750488,-0.2295968395504602,0,0.37456614837008834,1.0,-0.38119795281700253
ENSG00000000460,C1orf112,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.8632810819840504,-0.2295968395504602,0,-0.3957734532459226,0.0,-0.38119795281700253
ENSG00000000938,FGR,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.8930081385052415,-0.2295968395504602,0,-0.7809432540539282,0.0,-0.38119795281700253
ENSG00000000971,CFH,0.08571428571428572,0.02857142857142857,0.2,0.02857142857142857,0.0,0.0,0.0,1.083529526377773,-0.2295968395504602,0,1.9152453516021102,0.7000000000000001,0.7298407676575777
ENSG00000001084,GCLC,0.0,0.0,0.43478260869565216,0.0,0.0,0.0,0.0,-0.20686818270362473,-0.2295968395504602,0,0.37456614837008834,1.0,0.7298407676575777
ENSG00000001460,STPG1,0.03125,0.0,0.3125,0.0,0.0,0.0,0.0,-1.123337168151378,-0.2295968395504602,0,0.37456614837008834,0.9090909090909091,-0.38119795281700253
ENSG00000001461,NIPAL3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0590698987699434,-0.2295968395504602,0,-0.3957734532459226,1.0,-0.38119795281700253
ENSG00000001497,LAS1L,0.0,0.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.16493181169202398,-0.2295968395504602,0,0.7597359491780938,1.0,-0.38119795281700253
ENSG00000001561,ENPP4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.4893057827756406,-0.2295968395504602,0,-0.010603652437917147,1.0,-0.38119795281700253
ENSG00000001617,SEMA3F,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.9507523069251576,-0.2295968395504602,0,-0.3957734532459226,1.0,0.7298407676575777
ENSG00000001626,CFTR,0.20930232558139536,0.046511627906976744,0.3488372093023256,0.06976744186046512,0.0,0.0,0.0,-0.2874088376758722,-0.2295968395504602,0,1.5300755507941048,0.625,0.7298407676575777
ENSG00000001629,ANKIB1,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.614196665314219,-0.2295968395504602,0,-0.010603652437917147,0.5,-0.38119795281700253
ENSG00000001630,CYP51A1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,-0.3703882979528206,-0.2295968395504602,0,-0.3957734532459226,1.0,-0.38119795281700253
ENSG00000001631,KRIT1,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.5277902369327854,-0.2295968395504602,0,-0.3957734532459226,0.0,-0.38119795281700253
ENSG00000002016,RAD52,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.33249216221879085,-0.2295968395504602,0,-0.3957734532459226,1.0,-0.38119795281700253
ENSG00000002330,BAD,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.28728573794355405,3.0479650480010996,0,-0.7809432540539282,0.0,-0.38119795281700253
ENSG00000002586,CD99,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,3.1393288822449943,-0.2295968395504602,0,-0.7809432540539282,0.0,-0.38119795281700253
ENSG00000002587,HS3ST1,0.06666666666666667,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.7514264843692924,-0.2295968395504602,0,0.37456614837008834,0.8,-0.38119795281700253
ENSG00000002726,AOC1,0.12962962962962962,0.0,0.5185185185185185,0.0,0.0,0.0,0.0,0.06017437889218829,-0.2295968395504602,0,2.3004151524101157,0.7999999999999999,-0.38119795281700253
ENSG00000002745,WNT16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.03708832513583771,3.0479650480010996,0,-0.7809432540539282,0.0,-0.38119795281700253
ENSG00000002746,HECW1,0.3617021276595745,0.0425531914893617,0.2765957446808511,0.0,0.0,0.0,0.0,-1.919298848703002,-0.2295968395504602,0,1.5300755507941048,0.43333333333333335,-0.38119795281700253
ENSG00000002822,MAD1L1,0.35294117647058826,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0826221969831793,3.0479650480010996,0,-0.3957734532459226,0.33333333333333337,1.840879488132158
ENSG00000002919,SNX11,0.0,0.0,0.21818181818181817,0.0,0.0,0.0,0.0,0.5730327046318151,-0.2295968395504602,0,-0.010603652437917147,1.0,-0.38119795281700253
ENSG00000002933,TMEM176A,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,1.6465059947643352,-0.2295968395504602,0,-0.7809432540539282,0.0,-0.38119795281700253
ENSG00000003096,KLHL13,0.12987012987012986,0.0,0.6493506493506493,0.0,0.0,0.0,0.0,0.9591941345004642,-0.2295968395504602,0,1.1449057499860993,0.8333333333333333,-0.38119795281700253
ENSG00000003137,CYP26B1,0.0,0.0,0.4,0.0,0.3333333333333333,0.0,0.0,-2.4656343813277943,-0.2295968395504602,0,0.37456614837008834,1.0,-0.38119795281700253
